USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.2 167724  9884 ?        Ss   10:27   0:03 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    10:27   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        I<   10:27   0:00 [rcu_gp]
root           4  0.0  0.0      0     0 ?        I<   10:27   0:00 [rcu_par_gp]
root           6  0.0  0.0      0     0 ?        I<   10:27   0:00 [kworker/0:0H-events_highpri]
root           9  0.0  0.0      0     0 ?        I<   10:27   0:00 [mm_percpu_wq]
root          10  0.0  0.0      0     0 ?        S    10:27   0:00 [rcu_tasks_rude_]
root          11  0.0  0.0      0     0 ?        S    10:27   0:00 [rcu_tasks_trace]
root          12  0.0  0.0      0     0 ?        S    10:27   0:00 [ksoftirqd/0]
root          13  0.0  0.0      0     0 ?        I    10:27   0:32 [rcu_sched]
root          14  0.0  0.0      0     0 ?        S    10:27   0:00 [migration/0]
root          15  0.0  0.0      0     0 ?        S    10:27   0:00 [idle_inject/0]
root          16  0.0  0.0      0     0 ?        S    10:27   0:00 [cpuhp/0]
root          17  0.0  0.0      0     0 ?        S    10:27   0:00 [cpuhp/1]
root          18  0.0  0.0      0     0 ?        S    10:27   0:00 [idle_inject/1]
root          19  0.0  0.0      0     0 ?        S    10:27   0:00 [migration/1]
root          20  0.0  0.0      0     0 ?        S    10:27   0:00 [ksoftirqd/1]
root          22  0.0  0.0      0     0 ?        I<   10:27   0:00 [kworker/1:0H-events_highpri]
root          23  0.0  0.0      0     0 ?        S    10:27   0:00 [cpuhp/2]
root          24  0.0  0.0      0     0 ?        S    10:27   0:00 [idle_inject/2]
root          25  0.0  0.0      0     0 ?        S    10:27   0:00 [migration/2]
root          26  0.0  0.0      0     0 ?        S    10:27   0:00 [ksoftirqd/2]
root          28  0.0  0.0      0     0 ?        I<   10:27   0:00 [kworker/2:0H-events_highpri]
root          29  0.0  0.0      0     0 ?        S    10:27   0:00 [cpuhp/3]
root          30  0.0  0.0      0     0 ?        S    10:27   0:00 [idle_inject/3]
root          31  0.0  0.0      0     0 ?        S    10:27   0:00 [migration/3]
root          32  0.0  0.0      0     0 ?        S    10:27   0:00 [ksoftirqd/3]
root          34  0.0  0.0      0     0 ?        I<   10:27   0:00 [kworker/3:0H]
root          35  0.0  0.0      0     0 ?        S    10:27   0:00 [cpuhp/4]
root          36  0.0  0.0      0     0 ?        S    10:27   0:00 [idle_inject/4]
root          37  0.0  0.0      0     0 ?        S    10:27   0:00 [migration/4]
root          38  0.0  0.0      0     0 ?        S    10:27   0:00 [ksoftirqd/4]
root          40  0.0  0.0      0     0 ?        I<   10:27   0:00 [kworker/4:0H-events_highpri]
root          41  0.0  0.0      0     0 ?        S    10:27   0:00 [cpuhp/5]
root          42  0.0  0.0      0     0 ?        S    10:27   0:00 [idle_inject/5]
root          43  0.0  0.0      0     0 ?        S    10:27   0:00 [migration/5]
root          44  0.0  0.0      0     0 ?        S    10:27   0:00 [ksoftirqd/5]
root          46  0.0  0.0      0     0 ?        I<   10:27   0:00 [kworker/5:0H-kblockd]
root          47  0.0  0.0      0     0 ?        S    10:27   0:00 [kdevtmpfs]
root          48  0.0  0.0      0     0 ?        I<   10:27   0:00 [netns]
root          49  0.0  0.0      0     0 ?        I<   10:27   0:00 [inet_frag_wq]
root          50  0.0  0.0      0     0 ?        S    10:27   0:00 [kauditd]
root          54  0.0  0.0      0     0 ?        S    10:27   0:00 [khungtaskd]
root          55  0.0  0.0      0     0 ?        S    10:27   0:00 [oom_reaper]
root          56  0.0  0.0      0     0 ?        I<   10:27   0:00 [writeback]
root          57  0.0  0.0      0     0 ?        S    10:27   0:02 [kcompactd0]
root          58  0.0  0.0      0     0 ?        SN   10:27   0:00 [ksmd]
root          59  0.0  0.0      0     0 ?        SN   10:27   0:00 [khugepaged]
root         107  0.0  0.0      0     0 ?        I<   10:27   0:00 [kintegrityd]
root         108  0.0  0.0      0     0 ?        I<   10:27   0:00 [kblockd]
root         109  0.0  0.0      0     0 ?        I<   10:27   0:00 [blkcg_punt_bio]
root         110  0.0  0.0      0     0 ?        I<   10:27   0:00 [tpm_dev_wq]
root         111  0.0  0.0      0     0 ?        I<   10:27   0:00 [ata_sff]
root         112  0.0  0.0      0     0 ?        I<   10:27   0:00 [md]
root         113  0.0  0.0      0     0 ?        I<   10:27   0:00 [edac-poller]
root         114  0.0  0.0      0     0 ?        I<   10:27   0:00 [devfreq_wq]
root         115  0.0  0.0      0     0 ?        S    10:27   0:00 [watchdogd]
root         117  0.0  0.0      0     0 ?        I<   10:27   0:00 [kworker/1:1H-kblockd]
root         119  0.0  0.0      0     0 ?        S    10:27   0:02 [kswapd0]
root         120  0.0  0.0      0     0 ?        S    10:27   0:00 [ecryptfs-kthrea]
root         123  0.0  0.0      0     0 ?        I<   10:27   0:00 [kthrotld]
root         124  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/24-pciehp]
root         125  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/25-pciehp]
root         126  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/26-pciehp]
root         127  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/27-pciehp]
root         128  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/28-pciehp]
root         129  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/29-pciehp]
root         130  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/30-pciehp]
root         131  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/31-pciehp]
root         132  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/32-pciehp]
root         133  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/33-pciehp]
root         134  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/34-pciehp]
root         135  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/35-pciehp]
root         136  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/36-pciehp]
root         137  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/37-pciehp]
root         138  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/38-pciehp]
root         139  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/39-pciehp]
root         140  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/40-pciehp]
root         141  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/41-pciehp]
root         142  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/42-pciehp]
root         143  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/43-pciehp]
root         144  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/44-pciehp]
root         145  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/45-pciehp]
root         146  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/46-pciehp]
root         147  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/47-pciehp]
root         148  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/48-pciehp]
root         149  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/49-pciehp]
root         150  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/50-pciehp]
root         151  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/51-pciehp]
root         152  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/52-pciehp]
root         153  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/53-pciehp]
root         154  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/54-pciehp]
root         155  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/55-pciehp]
root         157  0.0  0.0      0     0 ?        I<   10:27   0:00 [acpi_thermal_pm]
root         160  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_0]
root         161  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_0]
root         162  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_1]
root         163  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_1]
root         165  0.0  0.0      0     0 ?        I<   10:27   0:00 [vfio-irqfd-clea]
root         166  0.0  0.0      0     0 ?        I<   10:27   0:00 [mld]
root         167  0.0  0.0      0     0 ?        I<   10:27   0:00 [ipv6_addrconf]
root         179  0.0  0.0      0     0 ?        I<   10:27   0:00 [kstrp]
root         182  0.0  0.0      0     0 ?        I<   10:27   0:00 [zswap-shrink]
root         183  0.0  0.0      0     0 ?        I<   10:27   0:00 [kworker/u257:0]
root         188  0.0  0.0      0     0 ?        I<   10:27   0:00 [charger_manager]
root         239  0.0  0.0      0     0 ?        I<   10:27   0:00 [kworker/2:1H-kblockd]
root         241  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_2]
root         242  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_2]
root         243  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_3]
root         244  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_3]
root         245  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_4]
root         246  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_4]
root         247  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_5]
root         248  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_5]
root         249  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_6]
root         250  0.0  0.0      0     0 ?        I<   10:27   0:00 [mpt_poll_0]
root         251  0.0  0.0      0     0 ?        I<   10:27   0:00 [mpt/0]
root         252  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_6]
root         253  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_7]
root         254  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_7]
root         255  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_8]
root         256  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_8]
root         257  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_9]
root         258  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_9]
root         259  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_10]
root         260  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_10]
root         262  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_11]
root         263  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_11]
root         264  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_12]
root         265  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_12]
